1,2,3,4,5,6,7,A,B,C,D,E,F,G,J,L,M,N,Q,R,W,Z,GS,FS,RS
Van Cortlandt Park-242,Wakefield-241 St,Harlem-148 St,Woodlawn,Eastchester-Dyre Av,Pelham Bay Park,Flushing-Main St,Inwood-207 St,Bedford Park Blvd,168 St,Norwood-205 St,Jamaica Center-Parsons/Archer,Jamaica-179 St,Court Sq,Jamaica Center-Parsons/Archer,8 Av,Forest Hills-71 Av,Astoria Ditmars Blvd,96 St,Forest Hills-71 Av,Astoria-Ditmars Blvd,Jamaica Center-Parsons/Archer,Times Sq-42 St,Franklin Av,Broad Channel
238 St,Nereid Av,145 St,Mosholu Pkwy,Baychester Av,Buhre Av,Mets-Willets Point,Dyckman St,Kingsbridge Rd,163 St-Amsterdam Av,Bedford Park Blvd,Sutphin Blvd-Archer Av-JFK Airport,169 St,21 St,Sutphin Blvd-Archer Av-JFK Airport,6 Av,67 Av,Astoria Blvd,86 St,67 Av,Astoria Blvd,Sutphin Blvd-Archer Av-JFK Airport,Grand Central-42 St,Park Place,Beach 90 St
231 St,233 St,135 St,Bedford Pk Blvd-Lehman College,Gun Hill Rd,Middletown Rd,111 St,190 St,Fordham Rd,155 St,Kingsbridge Rd,Jamaica-Van Wyck,Parsons Blvd,Greenpoint Av,121 St,14 St-Union Sq,63 Dr-Rego Park,30 Av,72 St,63 Dr-Rego Park,30 Av,121 St,,Botanic Garden,Beach 98 St
Marble Hill-225 St,225 St,125 St,Kingsbridge Rd,Pelham Pkwy,Westchester Sq-East Tremont Av,103 St-Corona Plaza,181 St,182-183 Sts,145 St,Fordham Rd,Briarwood,Sutphin Blvd,Nassau Av,111 St,3 Av,Woodhaven Blvd,Broadway,Lexington Av/63 St,Woodhaven Blvd,Broadway,104 St,,Prospect Park,Beach 105 St
215 St,219 St,116 St,Fordham Rd,Morris Park,Zerega Av,Junction Blvd,175 St,Tremont Av,135 St,182-183 Sts,Kew Gardens-Union Tpke,Briarwood,Metropolitan Av,104 St,1 Av,Grand Av-Newtown,36 Av,57 St-7 Av,Grand Av,36 Av,Woodhaven Blvd,,,Rockaway Park-Beach 116 St
207 St,Gun Hill Rd,Central Park North (110 St),183 St,E 180 St,Castle Hill Av,90 St-Elmhurst Av,168 St,174-175 Sts,125 St,Tremont Av,75 Av,Kew Gardens-Union Tpke,Broadway,Woodhaven Blvd,Bedford Av,Elmhurst Av,39 Av,Times Sq-42 St,Elmhurst Av,39 Av,75 St-Elderts Ln,,,
Dyckman St,Burke Av,96 St,Burnside Av,West Farms Sq-E Tremont Av,Parkchester,82 St-Jackson Hts,145 St,170 St,116 St,174-175 Sts,Forest Hills-71 Av,75 Av,Flushing Av,85 St-Forest Pkwy,Lorimer St,Jackson Hts-Roosevelt Av,Queensboro Plaza,34 St-Herald Sq,Jackson Hts-Roosevelt Av,Queensboro Plaza,Crescent St,,,
191 St,Allerton Av,72 St,176 St,174 St,St Lawrence Av,74 St-Broadway,125 St,167 St,Cathedral Pkwy (110 St),170 St,Jackson Hts-Roosevelt Av,Forest Hills-71 Av,Myrtle Willoughby Avs,75 St-Elderts Ln,Graham Av,65 St,Lexington Av/59 St,14 St-Union Sq,65 St,Lexington Av/59 St,Norwood Av,,,
181 St,Pelham Pkwy,Times Square-42 St,Mt Eden Av,Freeman St,Morrison Av-Soundview,69 St,59 St-Columbus Circle,161 St-Yankee Stadium,103 St,167 St,Queens Plaza,Jackson Hts-Roosevelt Av,Bedford-Nostrand Avs,Cypress Hills,Grand St,Northern Blvd,5 Av/59 St,Canal St,Northern Blvd,5 Av/59 St,Van Siclen Av,,,
168 St,Bronx Park East,34 St-Penn Station,170 St,Simpson St,Elder Av,61 St-Woodside,42 St/Port Authority Bus Terminal,155 St,96 St,161 St-Yankee Stadium,Court Sq-23 St,21 St-Queensbridge,Classon Av,Crescent St,Montrose Av,46 St,57 St-7 Av,DeKalb Av,46 St,57-7 Av,Alabama Av,,,
